gene,globalScore
EGFR,0.6946244623278642
TP53,0.6639667840686521
IDH1,0.6633824885375236
PTEN,0.640279256049528
ATRX,0.6192228899155781
RB1,0.6152960638010425
TERT,0.6128384915418048
NF1,0.6073827737123049
BRAF,0.6003251081250316
PIK3CA,0.5809310981448873
PIK3R1,0.5789734627587937
FGFR1,0.5730415767993081
GSR,0.5573647179713802
VEGFA,0.5500499313103837
PDGFRA,0.5445501644527366
CDKN2A,0.5358077202104803
PTPN11,0.5125313180861406
ALK,0.4723164178117986
CDKN2B,0.4668705989374219
H3-3A,0.4659408583581069
KIT,0.4656887529053473
STAG2,0.4655699634262509
CDKN2C,0.4572499724913542
PDGFRB,0.4522424521887099
H3C2,0.4464017925334717
PPM1D,0.4461252322961176
ACVR1,0.4421790915855713
ABL1,0.4392004574305667
ARID1A,0.4346411220154546
KDR,0.4328865540367247
NRAS,0.4251645517046303
LRP1B,0.4211963235784561
JAK2,0.4204059975314054
PIK3CB,0.4160669252624375
LZTR1,0.4126630244960961
MET,0.4074368782461831
RUNX1,0.4074363060073243
FAT1,0.4046729727343042
AR,0.4040299499354505
BCR,0.401454560285984
HIF1A,0.3991429069906915
PRKCB,0.3903817198498396
BCOR,0.3891896117501945
ERBB4,0.3852646456011733
ESR1,0.3833230043178998
CHEK2,0.380525895313048
FLT4,0.376195381018497
RARA,0.3752501434212452
XPO1,0.3752281975820259
TGFBR2,0.3715878022701077
ATM,0.3714904675296151
HMGA2,0.3697765362203088
IRS4,0.3695798546847018
MECOM,0.369541356783172
MAML2,0.3678661290602393
LEF1,0.3677677006118203
NRG1,0.3675964713363858
SETD2,0.3673754123336796
FLI1,0.3666417810892253
ETV6,0.3655741736958087
CAMTA1,0.3630309361728929
IKBKB,0.3628359256662082
CXCR4,0.3627388773315375
FBXW7,0.362622314388733
MED12,0.3620642015439771
SND1,0.3607051988358469
ITGAV,0.3595890820917506
EBF1,0.3592778162353657
BARD1,0.3590621532399175
TOP1,0.3587143605707489
SYK,0.3586493812907237
FGFR3,0.3582467992721713
KNL1,0.3563512060219008
QKI,0.3560554632697465
CLTCL1,0.3558116924791129
WT1,0.3549746636341455
FGFR4,0.3548286543690191
PTPRT,0.3545984903701891
TSC1,0.3543781797802987
NCOR2,0.3535344394898088
BRCA2,0.3531371501216915
PTPRB,0.3529436281703529
FHIT,0.3527857867740813
CTNNB1,0.3527385080898042
LATS2,0.3526869754934885
PPARG,0.3525426598704699
KDM6A,0.352498977835941
TPM3,0.3521582279668674
WWTR1,0.3515443986260518
JAK1,0.3514858745102271
MAP3K13,0.3514858409657632
JAK3,0.3513341307167723
RMI2,0.3509160720231243
SALL4,0.350907284084154
YAP1,0.3502114657038365
CDH1,0.3502062325937919
PBX1,0.3501871784208295
ARID1B,0.3501230152516134
TCF7L2,0.3500861599272157
NFE2L2,0.3499332311871437
AFF3,0.3498327924046152
GRIN2A,0.3497124211209539
BIRC3,0.3495098190097843
RSPO3,0.3493297119199492
DDR2,0.3492760614179609
PREX2,0.349160567713372
MALT1,0.3490310479775084
EXT1,0.3490302106761067
PRDM16,0.3486421293061059
UBR5,0.3484214080040026
NOTCH2,0.3481467267999908
CREB1,0.3481462159608152
BCORL1,0.3481442231129891
RPL5,0.3477933565277363
GPC3,0.347686608247454
FOXP1,0.3476078190183425
RAD51B,0.3474050634036197
ASXL1,0.3474050634036197
ARHGAP26,0.3474050634036197
SOS1,0.3472953700495279
DROSHA,0.3470354835489349
ARID2,0.3469430885852638
DDX10,0.3464811137669079
MLLT10,0.3464811137669079
TBL1XR1,0.3464811137669079
PTPRK,0.3464811137669079
ZFHX3,0.3464811137669079
NFATC2,0.3452963034054102
PLAG1,0.3450027943481691
OLIG2,0.3446228311390394
NTRK2,0.3446066422089348
EXT2,0.3445285483891733
CDH11,0.3434802283596957
PATZ1,0.3432583023864861
MLH1,0.3429521467758148
FAT4,0.3428582390597411
KDM5C,0.3422181128041906
CHD4,0.3421950140632728
CCND1,0.3405611011283174
AKT2,0.3398095151873637
SOCS1,0.3396570628578576
RICTOR,0.3394675168000082
DNMT3A,0.3389543307971031
SUZ12,0.3388379454949769
ERG,0.3382410150667856
MSH2,0.3369156451470143
POLD1,0.3367797330807841
SMAD3,0.3366535415421085
HNRNPA2B1,0.335917348060108
POLE,0.3351831150181778
PDCD1LG2,0.3351605065596936
HOXA13,0.3343940473160111
KEAP1,0.3343683801413888
MSH6,0.3342561503617566
PAX5,0.3342288742871502
NTRK3,0.334121096693049
NCOR1,0.3340033030933235
BRD3,0.3338222494993554
MYCN,0.3337904411157336
PDCD1,0.3337071924284631
HLF,0.3336959516241459
TRRAP,0.3333596454163582
ATP2B3,0.3331008857723313
BCL11A,0.3325060856799663
PRKAR1A,0.3321721299266378
AXIN1,0.3303312136310015
CUX1,0.3292143835082268
MYD88,0.3286072976466079
TP63,0.3282849591090906
FH,0.328253874270731
FLT1,0.3282245058243249
PRDM1,0.3278654791475102
RRAS2,0.3278378633194796
CBL,0.3276327318717784
RBM10,0.3274477512506457
BCL11B,0.3273723794713304
GNAS,0.3271935592967935
CBLB,0.327165433306095
RRM2,0.3270017129502032
NT5C2,0.3267958534514102
KMT2C,0.3267650551301865
ARHGEF12,0.3264955698194789
CRTC1,0.326264582410301
SRSF2,0.3261542217592493
MAX,0.326070464002024
DDB2,0.3256178176646028
APOBEC3B,0.3255998519772223
LPP,0.3254150620498799
FOXA1,0.3251837321461434
POT1,0.324953087231524
KMT2D,0.3249167277478322
MITF,0.3246630697066673
ERCC3,0.3245835073768393
ZBTB16,0.3245090781005487
SPEN,0.324398717449497
GNAQ,0.324398717449497
AFF4,0.3243063224858258
CACNA1D,0.3237519527037987
BCL9,0.3237519527037987
NCOA2,0.3233823728491141
PHOX2B,0.3233823728491141
RAD21,0.3233823728491141
USP6,0.3233823728491141
TCL1A,0.3233823728491141
IKZF3,0.3233823728491141
SDHC,0.3233823728491141
GNA11,0.3233823728491141
EPS15,0.3233823728491141
FLCN,0.3233823728491141
FBXO11,0.3233823728491141
NSD3,0.3233823728491141
TBX3,0.3233823728491141
ZNF521,0.3233823728491141
BCL9L,0.3233823728491141
AMER1,0.3233823728491141
EWSR1,0.3226702190465735
ITGB5,0.3209114174614115
CD274,0.3196503377975235
CSMD3,0.3193287282428044
SRC,0.317564570563453
TET1,0.3175082961229882
MAP3K1,0.3164124062159335
RAF1,0.3159255194458721
LCK,0.314519680867561
FGFR2,0.3140541471393335
CDK4,0.3135017896913404
RAD50,0.313448084964443
ERBB2,0.3133375544470623
CTLA4,0.3132660102707136
HGF,0.3115440859886525
MTOR,0.3113585240988847
RET,0.3111513412556829
FBXO21,0.3110744008763678
EZH2,0.3096919384826833
CSF3R,0.3092563448245835
FLT3,0.3086397674082326
BRD4,0.3085770463502214
CDK6,0.308281429299268
BTK,0.3081357954822008
NTRK1,0.3079776542128416
STAT3,0.3073976159351468
IDH2,0.3072725301733168
SMO,0.3055523409410074
ITGB3,0.3055224298671811
IL13RA2,0.3055111543441788
MYC,0.3053868822543873
SOX2,0.3053344174520558
NOTCH1,0.3051562940615278
ACKR3,0.3051482887791613
ERBB3,0.3047262183953295
AKT1,0.3044193419544564
NDRG1,0.3034278052204124
PTK6,0.3033352322592376
SMARCA4,0.3032967473090265
HOXA9,0.3028471959033866
FCGR2B,0.30280270351519
NPM1,0.3024043664877511
MDM4,0.3016565214711058
NUP98,0.3015342572722004
TRIM24,0.3013869613790628
JUN,0.301279753746405
KRAS,0.3012043427145702
HEY1,0.3010650052080376
BUB1B,0.3009525876871683
STAT5B,0.3008241048530666
BRCA1,0.3007439715561618
BCL6,0.3003871770379609
PIM1,0.3000881232774373
EP300,0.2999263143738648
STAT6,0.2994804384355468
HNF1A,0.2993631656675504
FAS,0.2993344058956174
FOXO3,0.2991648861623558
RTEL1,0.2990920705438287
PSMB5,0.2989404538234537
MAPK1,0.2984184471339139
CREBBP,0.2982891680104084
RSPO2,0.2982488734039797
CYLD,0.2982321510405791
APC,0.2981272003752079
PML,0.2979989496796222
TNFRSF14,0.2978946814787221
NF2,0.2977761520888403
ATP1A1,0.2977526227504686
TET2,0.2976908292428649
CIITA,0.297601406135946
EPAS1,0.2975280193263892
POU5F1,0.297345638971366
PPP6C,0.2973235026174372
TAL1,0.2969702458730011
BCL2,0.2967444798415087
EIF3E,0.2967052776494063
FOXO1,0.2966771539193919
ARNT,0.2966731960647982
FANCD2,0.2966383150120335
SH2B3,0.2966288978127714
CDK12,0.2966271221952724
USP8,0.2961438242534978
KLF4,0.296016229849972
SF3B1,0.2960026652812224
TFE3,0.2959975322276851
MDM2,0.2959973579754744
IL13RA1,0.2959288515904865
MSI2,0.2958666393624842
PSMA5,0.2958640728357156
XPC,0.2957267636535932
MPL,0.2956638837477614
CALR,0.2956603445260388
ETV4,0.2956415759161131
SRSF3,0.2947328337404278
CCND3,0.2947008202430955
TLX1,0.2941855643290226
SEC61G,0.2940835118911541
CDKN1B,0.2940597622265247
CD79A,0.2939784879678254
ABI1,0.2937235895106667
ROS1,0.2934811845844033
VHL,0.2933077384294197
MAP2K4,0.2930380363848242
RAC1,0.2915555213036772
PTCH1,0.2911098219321794
LRIG3,0.2910441355642026
SMAD2,0.2909872352782799
PMS2,0.2906283192811533
IL6ST,0.290550010457237
ATR,0.2900808074032163
GATA3,0.2900088185369885
PSMB9,0.2898535061064383
PSMB8,0.2896237296729815
PTPRC,0.2893471885363511
HOXA11,0.2892023970295886
CASP8,0.2890058891592788
RHOA,0.288981921388772
DDIT3,0.2887770562252247
