symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CKMT1A	0.03817090520183513	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0805508306835398	0.2938034954380646	No data	No data	0	0	0	0	1	0.8441249999999997	No data	0.6997242140099282	-0.22986827815066974	No data	No data	No data	-1	0.5	0
CYP3A4	0.038156755648882476	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0.03943771840880247	No data	No data	1	0	0	1	1	1	0	0	-0.2552675124103696	0	0	-1	No data	-0.71173	1	0.5
CENPE	0.0381562334744921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2930733053486023	0.0829889134931988	No data	No data	0	0	1	1	0	0	No data	-0.7391064533921676	-0.6891059635184138	-1	No data	No data	0	0.5	0.5
PDCD6IP	0.03814636347419995	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30588713560492725	0.031408884447482015	No data	No data	0	0	0	0	0	No data	No data	-0.590292333149476	-0.8281064069237015	0	No data	No data	No data	-1	-1
B4GALT1	0.03802523662683363	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30664704910194174	0.024384341131816686	No data	No data	0	0	1	1	0	0.3341700000000003	No data	-0.38257032542746827	-0.8937757078330733	0	No data	No data	0	-1	-1
BRDT	0.0380205275506887	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0.03495602086266821	No data	No data	0.75	0	0	1	1	0	0	1	-0.2842801985659128	-0.11202750436982906	0	No data	No data	0	1	0.5
CD96	0.037990349419805426	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3124562003525581	No data	No data	No data	0	0	0	0	0	0	No data	0.3331494760066189	-0.05228713452225198	0	No data	No data	No data	0.5	0
NIBAN1	0.0379293358268687	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26444989696105514	0.19001795901742072	No data	No data	1	0	0	0	0	0	No data	0.40209597352454485	-0.6046374862076422	0	No data	No data	0	0.5	0
TAC1	0.03791687979568555	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1381106201509659	0.2773242855503129	No data	No data	0	1	0	0	0	0.7674399999999999	No data	-0.26232763375620516	-0.2024466188616067	0	No data	No data	No data	1	0
SYNGR1	0.037897710263773164	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17022062333125393	0.26913912263327155	No data	No data	0	0	0	0	0	0.7210299999999996	No data	-0.11660231660231657	0	0	No data	No data	0	0.5	-1
PRKRA	0.03788193510518193	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3115645337759558	No data	No data	No data	0	0	0	0	0	0.904155	No data	-0.06508549365692218	-0.7029258120787398	-1	No data	No data	0	-1	-1
EMP2	0.037798846914633984	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31088116495441903	No data	No data	No data	0	0	0	0	0	0	No data	0.8857142857142857	No data	0	No data	No data	0	0.5	0
BTBD8	0.03776312426019501	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31058735968431833	No data	No data	0	0	0	0	0	0	No data	-0.3613899613899614	-0.6257033003987322	0	No data	No data	0	0.75	0
ACE2	0.03772861417150054	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31030352730709665	No data	No data	No data	1	1	1	1	1	0.10559000000000011	No data	No data	-0.9773906210337058	0	No data	No data	0	0.5	0
MMUT	0.03772618569011727	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3102835539697299	No data	No data	No data	0	0	0	0	1	0.7399999999999999	No data	0.3628240485383343	-0.9510326955978295	0	No data	No data	0	0.5	-1
DDX39B	0.03771521352629083	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31019331208800954	No data	No data	No data	0	0	0	0	0	0.9766350000000003	No data	-0.9450634307777165	No data	-1	-1	No data	-0.7371500000000001	-1	-1
SERINC2	0.037697145177839585	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31004470678192675	No data	No data	No data	1	0	0	0	0	0.13187	No data	0.48725868725868726	0	0	No data	No data	0	0.5	0
SURF4	0.037697145177839585	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31004470678192675	No data	No data	No data	0	0	0	0	0	0.9628250000000002	No data	-0.9120794263651406	0	0	No data	No data	0	-1	-1
KCNC2	0.037689753580745895	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.3069442597141075	No data	1	1	0	0	0	0	0.8746099999999999	No data	-0.4835079977937121	-0.30987603255488133	0	No data	No data	-0.12617499999999993	1	0.5
CDK14	0.03763554853539213	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30953809778391705	No data	No data	0.5	0	0	1	1	0	0.9253749999999996	1	-0.12840595697738555	0	0	No data	No data	0	-1	-1
ASCC1	0.037632762369802064	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30951518262974975	No data	No data	No data	0	0	0	0	0	0.3277299999999997	No data	0.05846662989520124	-0.5108677546310344	0	No data	No data	No data	-1	-1
ATRNL1	0.03761284948411994	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1063616598079151	0.2827609917532714	No data	No data	0	0	0	0	0	0.8005800000000001	No data	-0.6469939327082184	No data	0	No data	No data	-0.008339999999999926	0.5	0
GRM1	0.03759646162356009	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07301586618647575	0.29096265622743184	No data	No data	0	0	1	1	0	0.7194299999999998	1	-0.7744070601213459	-0.7307693837338721	0	No data	No data	-0.018007500000000044	0.5	0.5
CAMP	0.03758688718785864	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30913787667548936	No data	No data	No data	0	1	0	0	0	0	No data	0.3934914506343077	-0.42339778452278154	0	No data	No data	No data	1	0
SCN3A	0.03758232281297226	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	0.02053975047669616	No data	1	1	0	1	1	0	0.7399999999999999	No data	-0.8473248758963045	-0.4580197190296931	0	No data	No data	-0.68875	0.5	0.5
H3P40	0.037578683963048046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30907040826590376	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
P4HA3	0.037553419678795524	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3088626191199041	No data	No data	No data	0	0	0	0	0	0.49448500000000023	No data	0.09156094870380582	-0.11714988940104198	0	No data	No data	0	0.5	0
SCN5A	0.03741996028682606	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0.015198269940290528	No data	No data	1	1	0	1	1	0	0.7196049999999999	No data	-0.8251516822945395	-0.9766558707171413	0	-1	No data	-0.09429250000000007	1	0.5
SPOCK1	0.03739728493462919	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2814010340344592	0.10470974437461526	No data	No data	0	1	0	0	0	0.7608199999999996	No data	-0.585438499724214	-0.6463701179128734	0	No data	No data	0	0.5	0
KCNH5	0.03734974011443597	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09726892761785938	0.2828702001286873	No data	1	0	0	0	0	0	0.9038449999999998	No data	-0.626696083838941	0	0	No data	No data	-0.3269224999999999	0.5	0.5
PDE4B	0.037327565323154885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	-1	No data	-0.24932000000000015	0.5	-1
SCN10A	0.037327565323154885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.11043000000000021	1	0.16282404853833432	-0.791664813861688	0	-1	No data	-0.03757750000000008	No data	No data
SHISAL1	0.037307434655309946	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3068394856937643	No data	No data	0	0	0	0	0	0.6733649999999998	No data	-0.4575841147269719	-0.7946442869379783	0	No data	No data	0	0.5	0
CCK	0.03730508765928648	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06585916974125894	0.29035539010723	No data	No data	0	1	0	0	0	0.043480000000000275	No data	0.7667953667953669	0	0	-1	No data	No data	0.75	0.5
MUC5AC	0.03727075292978477	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3065377924281057	No data	No data	0.75	0	1	0	0	0	0	No data	0.3453943739658025	-0.5386742485595083	No data	No data	No data	0	1	0.5
CHD5	0.03726037925990992	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24756293036073238	0.23555817028470935	No data	No data	0	0	0	0	0	0.7287599999999997	No data	-0.8111417539988969	-0.24036109133981493	0	No data	No data	-0.24769749999999996	0.75	0.5
TIMP3	0.03723141854254975	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3062142820270078	No data	No data	No data	0	1	0	1	0	0.8104250000000001	No data	-0.49034749034749037	-0.9762170089217509	0	No data	No data	0	-1	-1
CXCL14	0.03720048115035848	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2529926434485125	0.2118687610943314	No data	No data	0	1	0	0	0	0.747475	No data	0.03298400441257576	-0.8576696327081831	0	No data	No data	No data	0.5	0
SUMO1	0.03718367573974076	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30582161560019944	No data	No data	No data	0	0	1	1	0	1	No data	0.17385548814120244	-0.8118247929947627	0	No data	No data	No data	-1	-1
PDE1A	0.03714997411527476	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3055444325343109	No data	1	0	0	1	1	0	0.5368600000000001	1	-0.19680088251516825	-0.8187234931384143	0	No data	No data	-0.16824249999999985	0.5	0
RPS6KB2	0.0371437098547369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3054929113697107	No data	No data	0.5	0	0	1	1	0	0.6576749999999997	No data	0.23309431880860454	No data	0	No data	No data	-0.25311249999999996	-1	-1
HCN1	0.03714277539581253	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.3009257448177524	No data	No data	1	0	1	1	0	0.7584249999999997	1	-0.863430777716492	-0.9274495631726459	0	No data	No data	-0.05336999999999996	1	0.5
JAKMIP1	0.037132565292903826	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09726892761785938	0.2810840196753746	No data	No data	0	0	0	0	0	0.71721	No data	-0.8044125758411473	-0.29320286964309744	0	No data	No data	-0.1395900000000001	1	0.5
ACVR1C	0.03712186667051614	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25229128100882275	0.2120879138551032	No data	No data	0	0	0	0	0	0.6450299999999999	No data	-0.5690016547159404	-0.4157412905486202	0	No data	No data	-0.1734275	1	0.5
TRIM45	0.037111977074588805	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30523192130083476	No data	No data	No data	0	0	0	0	0	0.3017249999999997	No data	0.30888030888030893	No data	0	No data	No data	0	0.5	-1
CALB1	0.03709973945973148	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	0.29905196358871733	No data	No data	0	0	0	0	0	0.9233699999999999	No data	-0.5533370104798676	-0.8363844445477298	0	No data	No data	0	0.5	0
TAPBP	0.03696722496483729	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30404139015551196	No data	No data	No data	1	0	0	0	0	0	No data	0.16789851075565365	0	0	-1	No data	0	-1	-1
SIRT5	0.03696065465630957	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30398735186239095	No data	No data	No data	0	0	1	1	1	0.3064500000000002	No data	-0.037065637065637036	No data	0	No data	No data	0	-1	-1
HAUS3	0.03696065465630957	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30398735186239095	No data	No data	No data	0	0	0	0	0	0	No data	-0.3296194153337011	No data	-1	No data	No data	No data	0.5	-1
PDE4C	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0	No data	0.1384445670159955	-0.05373224667943238	0	No data	No data	-0.2132349999999999	0.5	0
CYP3A43	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0	No data	-0.021400992829564203	0	0	No data	No data	-0.3936375000000002	1	0.5
SCN4A	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.626905	No data	-0.5344732487589631	-0.8611015622174975	0	No data	No data	-0.2619824999999999	0.75	0.5
PRIM2	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.46955000000000024	No data	-0.07479316050744622	No data	No data	No data	No data	No data	0.5	-1
SLC37A4	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0	0	No data	No data	No data	0.6386949999999999	No data	0.45537782680639816	-0.8554427024341638	No data	No data	No data	0	0.5	-1
KDELR1	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0	0	0	0	0	0.976415	No data	0.019084390512961846	0	0	No data	No data	-0.587265	-1	-1
ANKRD1	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0	0	0	0	0	0.514105	No data	0.13017098731384436	-0.4732399532828793	0	No data	No data	0	1	0
PRIM1	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	No data	No data	0	0	0	0.5119050000000002	No data	-0.2479867622724765	-0.5293645670915037	-1	No data	No data	No data	0.5	-1
SCN11A	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0	No data	-0.23154991726420293	-0.28341503819740543	0	No data	No data	0	0.5	0.5
CYP3A7	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0	No data	0.12344180915609493	0	0	-1	No data	-0.71173	1	0.5
MED29	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0	0	0	0	0	0.6	No data	0.049751792608935475	No data	-1	No data	No data	No data	-1	-1
POLE3	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.6598649999999999	No data	0.31814671814671813	-0.7278541611047229	0	No data	No data	No data	-1	-1
CMTM3	0.03694664021710857	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20061716321183495	0.25371779761780316	No data	No data	0	0	0	0	0	0.42307500000000003	No data	-0.28494208494208495	-0.9089987153725045	0	No data	No data	0	-1	-1
KIF20A	0.03686136945410184	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24367544725974666	0.23798128603861005	No data	No data	0	0	1	1	0	0.3426949999999998	No data	-0.4573634859349145	-0.4395229065692238	-1	No data	No data	0	0.5	0
POU3F4	0.03677319554112783	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3024455718117815	No data	No data	No data	0	0	No data	No data	No data	0.9445999999999998	No data	No data	-0.32882567337131186	0	No data	No data	-0.18975000000000009	1	0.5
SIAH1	0.036773195541127825	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30244557181178144	No data	No data	No data	0	0	0	0	0	0.9822699999999998	No data	-0.888030888030888	-0.658287538947615	0	No data	No data	-0.468085	-1	-1
SOX21	0.036768871205413146	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30241000579232935	No data	No data	No data	0	0	0	0	0	0.9818849999999998	No data	0.8008825151682295	-0.8031407838278672	0	No data	No data	0	0.75	0.5
ERC2	0.036730895566518026	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3020976705804572	No data	No data	0	0	0	0	0	0.9529800000000002	No data	-0.7135135135135136	-0.3005895630303934	0	No data	No data	-0.30773249999999985	1	0.5
MOK	0.036717727089113396	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30198936485342087	No data	No data	No data	0	0	1	0	0	0.17661000000000016	No data	0.5018201875344732	No data	0	No data	No data	0	0.5	0
CD14	0.036543297472466485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2667981766319997	0.13502628339763767	No data	0.5	0	1	0	1	0	0	No data	0.9749586321014891	-0.6889599621426595	0	No data	No data	No data	0.5	-1
KAT5	0.036508282871984404	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30026676568628013	No data	No data	No data	0	0	1	1	1	0.6520150000000001	No data	-0.5762824048538334	-0.6972099281613636	-1	No data	No data	0	-1	-1
AHNAK2	0.03650627675718888	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30025026615373956	No data	No data	No data	1	0	0	0	0	0	No data	-0.08869277440706014	No data	0	No data	No data	0	0.5	0
TRIM47	0.036490877596577015	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2784660792393231	0.08663013865965599	No data	No data	0	0	0	0	0	0.4514099999999999	No data	0.5613899613899613	0	0	No data	No data	0	-1	0
NGEF	0.03642258556438915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29956193786762103	No data	No data	1	0	0	0	0	0	No data	-0.6889134031991175	No data	0	No data	No data	0	0.5	0
ABLIM2	0.03641610266291374	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29950861846431986	No data	No data	0	0	0	0	0	0.31783	No data	-0.37573083287369	No data	0	No data	No data	0	0.75	0
GPR26	0.0364129035002021	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12766546749844043	0.2675659396910183	No data	No data	1	0	0	0	0	0.7626100000000001	No data	0.5108659680088252	-0.31591212550149406	0	No data	No data	0	1	1
BAIAP2	0.03641100728353682	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25229128100882275	0.18870171957864718	No data	No data	1	0	0	0	0	0.794005	No data	-0.7440706012134584	-0.9536922022690127	0	No data	No data	0	-1	-1
ATP5F1C	0.036403615686443125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2994059178237234	No data	No data	No data	0	0	0	0	0	0.5637599999999999	No data	-0.31362382790954224	No data	0	No data	No data	No data	0.5	-1
HOPX	0.03638810047086244	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2992783110661644	No data	No data	No data	0	0	0	0	0	0	No data	0.5908439051296195	-0.9599991042134833	0	No data	No data	No data	0.5	-1
CNEP1R1	0.03637267308473479	0.05983028533450219	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	1	No data	0.964258135686707	0	0	No data	No data	No data	-1	-1
POMGNT1	0.036362551258144825	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2990681784917169	No data	No data	No data	0	0	0	0	0	0.9242400000000004	No data	-0.2611141753998897	-0.892381819589563	0	No data	No data	0	-1	-1
TAFA1	0.0363610265110786	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29905563802599106	No data	No data	0	1	0	0	0	0.9624049999999997	No data	-0.7602868174296746	-0.3070730522929374	0	No data	No data	0	0.5	0.5
LAMB1	0.03635540019037782	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2685438509907498	0.12186205073438906	No data	1	0	1	0	0	0	0.6388599999999997	No data	-0.5670159955874241	-0.7740092416924427	0	No data	No data	0	0.5	0
RIMBP2	0.03632168759876354	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1094275435700918	0.2713752045153049	No data	No data	0	0	0	0	0	0	No data	-0.5793712079426365	No data	0	No data	No data	0	0.5	0
SFRP2	0.03631069484667487	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2986416791954673	No data	No data	No data	0	1	0	0	0	0.8983049999999999	No data	-0.1474903474903475	-0.7368689464106617	0	No data	No data	0	0.5	0
OLFM3	0.03630203134548676	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2985704251874278	No data	No data	0	1	0	0	0	0.7816600000000001	No data	-0.5819084390512962	No data	0	No data	No data	-0.08297000000000007	0.75	0.5
RTN1	0.03625723706475884	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	0.29212270125916784	No data	No data	0	0	0	0	0	0.09149499999999974	No data	-0.5427468284611141	No data	0	No data	No data	0	1	0
HES1	0.036255114594404114	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2981845527224451	No data	No data	No data	0	0	0	0	0	0.8928550000000002	No data	-0.5584114726971869	-0.938364962007889	0	No data	No data	0	-1	0
HLCS	0.03621882575910078	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2978860908296943	No data	No data	No data	0	0	1	1	0	0	No data	-0.1491450634307777	-0.7970037908026695	0	No data	No data	No data	-1	-1
PAK5	0.03619200705863743	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25110919334680015	0.18622529541487476	No data	No data	0	0	1	1	1	0.6940199999999997	0	-0.863761720904578	-0.13173594722701215	0	No data	No data	0	0.75	0.5
CD99	0.03617330472807149	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2524701593156912	0.18016615326621044	No data	No data	0	0	0	0	0	No data	No data	No data	No data	No data	No data	No data	0	-1	-1
CBLN2	0.03608909864786019	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29681913459265025	No data	No data	0	1	0	0	0	0.7098199999999999	No data	0.26210700496414785	No data	0	No data	No data	-0.140625	1	0.5
MAPK10	0.0360583699522619	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07132716952644348	0.27873461035636926	No data	0.75	0	0	1	1	1	0.9784500000000002	1	-0.644015444015444	-0.2890469902413498	0	No data	No data	-0.5905175	0.5	-1
DBX2	0.036034035831758425	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2963662638356653	No data	No data	No data	0	0	0	0	0	0	No data	0.7476006618863762	0	0	No data	No data	0	1	1
TIGAR	0.03601350361760927	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29619739416966206	No data	No data	No data	0	0	0	0	0	0	No data	0.3804743519029232	-0.5471037286182351	0	No data	No data	No data	-1	0
LY6K	0.0360032375105347	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29611295933666043	No data	No data	No data	1	1	0	1	0	0	No data	0.8747931605074462	0	0	No data	No data	0	0.5	0
APP	0.03599721462553	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29606342339417846	No data	No data	1	0	1	1	1	1	0.7402599999999999	No data	-0.7845559845559845	-0.899579176773613	0	No data	No data	0	-1	-1
AK5	0.03598483016235259	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281347	0.28532277692829444	No data	No data	0	0	0	0	0	0.5729550000000003	No data	-0.6882515168229454	No data	0	No data	No data	0	1	0
