symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CDKN2B	0.4668705989374219	0.7314443666701206	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7214025785318199	0.02034849251927744	No data	No data	0	0	0	0	0	0.09420500000000018	No data	0.8688361831218974	-0.4782224558601425	0	No data	No data	-0.4384049999999998	0.5	0
H3-3A	0.4659408583581069	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	0.1304766929989741	No data	No data	No data	0	0	No data	No data	No data	No data	No data	No data	-0.7640481721934572	-1	No data	No data	-1	-1	-1
KIT	0.46568875290534734	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.6120659810386782	No data	No data	No data	0.489937692646517	0.04682970623192007	No data	1	1	0	1	1	1	0.13934500000000014	0	-0.9308328736900165	-0.9830854663871282	0	-1	-1	0	0.5	0
STAG2	0.4655699634262509	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6037090559615403	0.607930797611621	No data	No data	No data	No data	No data	No data	0.313612922824575	No data	No data	No data	0	0	0	0	0	0.9566249999999996	No data	No data	No data	0	No data	-1	-0.2724775000000001	-1	-1
CDKN2C	0.45724997249135424	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	No data	No data	No data	No data	No data	No data	No data	0.5302678886460535	0.16696204845682877	No data	No data	0	0	0	0	0	0.6130949999999998	No data	-0.05052399338113622	-0.7296195844104209	0	No data	-1	0	0.5	-1
PDGFRB	0.4522424521887099	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.6121354730493308	No data	No data	No data	0.8001898234549597	No data	No data	1	0	0	1	1	0	0.2721499999999999	1	-0.6833976833976834	-0.9833156589750258	0	-1	No data	0	-1	0
H3C2	0.4464017925334717	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	No data	No data	No data	No data	No data	No data	No data	0.24758459762047227	No data	No data	No data	0	0	No data	No data	No data	No data	No data	0.9253171538885825	No data	0	No data	No data	-1	0.75	0.5
PPM1D	0.44612523229611767	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	No data	No data	No data	No data	No data	No data	No data	0.2384861858130588	No data	No data	No data	0	0	1	1	0	0.42148499999999983	1	0.36657473800330953	-0.7250068491941405	0	No data	-1	0	-1	0
ACVR1	0.44217909158557134	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	No data	No data	No data	No data	No data	No data	No data	0.10866414929016575	No data	No data	1	0	0	1	1	1	0.9214149999999997	1	-0.23044677330391616	-0.8995786949659773	0	No data	-1	0	-1	-1
ABL1	0.43920045743056674	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	0.5743600472281545	No data	No data	No data	0.6797922036551839	No data	No data	1	0	0	1	1	1	0.32301	1	-0.9620518477661335	-0.9645649505474054	0	-1	-1	0	-1	-1
ARID1A	0.43464112201545463	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	0.5868606911432266	No data	No data	No data	No data	No data	No data	0.6346766867162057	No data	No data	No data	0	0	0	0	0	0.8183799999999998	No data	-0.9835631549917264	-0.9125117573906019	0	No data	-1	0	-1	-1
KDR	0.43288655403672477	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.565713381110814	No data	No data	No data	0.5023191370068706	No data	No data	No data	0.9347555524105506	No data	No data	1	0	0	1	1	1	0.2957250000000002	1	-0.8644236072807501	-0.9041013519487864	0	-1	-1	0	-1	0
NRAS	0.4251645517046303	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6205960225618631	0.29130155873412233	No data	No data	No data	No data	No data	No data	0.25312729389461985	0.02535522160950545	No data	0.5	1	0	1	1	0	0.973545	No data	-0.6311086596800882	-0.7530934129394029	0	No data	-1	-0.6296299999999999	-1	-1
LRP1B	0.42119632357845616	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.4796331546713113	No data	No data	No data	No data	No data	No data	0.1346651151542742	No data	No data	No data	0	0	0	0	0	0.5825200000000003	No data	-0.7735245449531164	0	0	No data	-1	-0.0046749999999999405	0.5	0.5
